No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium
1,17-Aug-22,OTC - Stock,300012 CH,Sell,Put,CNY,20.89,4%,20.00,20.9037,95.7%,19-Sep-22,0,"1,227,800",$25.67,$3.52,,MS,1.78%,Expired,"$67,283",$0,"$67,283",,,0.142755175,"$67,283"
2,18-Aug-22,OTC - Stock,300012 CH,Sell,Put,CNY,20.95,5%,20.00,20.1962,99.0%,19-Sep-22,0,"437,200",$8.83,$1.25,,MS,2.95%,Expired,"$38,386",$0,"$38,386",,,0.142755175,"$105,669"
3,26-Aug-22,OTC - Stock,ONON US,Sell,Put,USD,16.56,-11%,18.66,20.7369,90.0%,26-Sep-22,0,"240,000",$4.98,$4.48,,MS,2.15%,Exercised,"$106,992","-$504,000","-$397,008",,,1,"$212,661"
4,13-Sep-22,OTC - Stock,ONON US,Sell,Put,USD,17.14,-5%,18.00,19.28,93.4%,13-Oct-22,0,"260,000",$5.01,$4.68,,MS,3.29%,Exercised,"$164,944","-$223,600","-$58,656",,,1,"$377,605"
5,20-Sep-22,OTC - Stock,300012 CH,Sell,Put,CNY,20.35,4%,19.50,20.407,95.6%,20-Oct-22,0,"1,717,000",$35.04,$4.80,,MS,1.32%,Expired,"$66,104",$0,"$66,104",,,0.138609744,"$443,709"
6,20-Oct-22,OTC - Stock,002050 CH,Sell,Put,CNY,22.96,30%,17.60,20.703,85.0%,21-Nov-22,0,"1,693,000",$35.05,$4.28,,MS,1.95%,Expired,"$94,469",$0,"$94,469",,,0.139561498,"$538,178"
7,4-Nov-22,OTC - Stock,AMZN US,Sell,Put,USD,91.01,19%,76.24,89.69,85.0%,5-Dec-22,0,"22,500",$2.02,$1.72,,MS,0.80%,Expired,"$16,144",$0,"$16,144",,,1,"$554,322"
8,4-Nov-22,OTC - Stock,ONON US,Sell,Put,USD,18.86,26%,14.95,17.5916,85.0%,5-Dec-22,0,"225,000",$3.96,$3.36,,MS,2.10%,Expired,"$83,115",$0,"$83,115",,,1,"$637,437"
9,4-Nov-22,OTC - Stock,PYPL US,Sell,Call,USD,73.62,22%,89.69,74.74,120.0%,5-Dec-22,0,"27,500",$2.06,$2.47,,MS,0.49%,Expired,"$10,071",$0,"$10,071",,,1,"$647,507"
10,4-Nov-22,OTC - Stock,WOLF US,Sell,Put,USD,82.54,40%,59.16,73.9546,80.0%,5-Dec-22,0,"13,700",$1.01,$0.81,,MS,1.05%,Expired,"$10,638",$0,"$10,638",,,1,"$658,145"
11,7-Nov-22,OTC - Stock,TSLA US,Sell,Put,USD,173.44,9%,159.20,198.995,80.0%,8-Dec-22,0,"20,200",$4.02,$3.22,,MS,1.36%,Expired,"$54,613",$0,"$54,613",,,1,"$712,758"
12,10-Nov-22,OTC - Stock,NTES US,Sell,Call,USD,69.35,8%,74.64,62.2031,120.0%,12-Dec-22,0,"32,100",$2.00,$2.40,,MS,1.03%,Expired,"$20,566",$0,"$20,566",,,1,"$733,324"
13,10-Nov-22,OTC - Stock,PYPL US,Sell,Call,USD,73.8,38%,101.92,84.93,120.0%,12-Dec-22,0,"23,600",$2.00,$2.41,,MS,0.45%,Expired,"$9,020",$0,"$9,020",,,1,"$742,344"
14,17-Nov-22,OTC - Stock,SWAV US,Sell,Put,USD,216,12%,193.60,242,80.0%,19-Dec-22,0,"8,200",$1.98,$1.59,,MS,0.70%,Expired,"$13,891",$0,"$13,891",,,1,"$756,235"
15,18-Nov-22,OTC - Stock,TSLA US,Sell,Put,USD,149.87,5%,142.40,177.9974,80.0%,19-Dec-22,0,"11,200",$1.99,$1.59,,MS,1.47%,Expired,"$29,306",$0,"$29,306",,,1,"$785,541"
16,22-Nov-22,OTC - Stock,ADYEN NA,Sell,Put,EUR,1291.8,2%,1265.47,1488.79,85.0%,22-Dec-22,0,"1,326",$1.97,$1.68,,MS,1.00%,Expired,"$19,741",$0,"$19,741",,,1.0596,"$805,282"
17,22-Nov-22,OTC - Stock,RMS FP,Sell,Put,EUR,1486.5,20%,1239.75,1458.5,85.0%,16-Dec-22,0,"1,341",$1.96,$1.66,,GS,0.50%,Expired,"$9,779",$0,"$9,779",,,1.0586,"$815,062"
18,28-Nov-22,OTC - Stock,ADYEN NA,Sell,Put,EUR,1288.6,3%,1250.76,1471.4776,85.0%,28-Dec-22,0,654,$0.96,$0.82,,MS,0.90%,Expired,"$8,661",$0,"$8,661",,,1.0612,"$823,723"
19,28-Nov-22,OTC - Stock,STAA US,Sell,Put,USD,46.82,-7%,50.15,59,85.0%,28-Dec-22,0,"33,500",$1.98,$1.68,,MS,1.50%,Exercised,"$29,648","-$111,555","-$81,907",,,1,"$853,370"
20,28-Nov-22,OTC - Stock,UMG NA,Sell,Call,EUR,22.52,14%,25.65,22.3072,115.0%,28-Dec-22,0,"172,313",$3.84,$4.42,,MS,0.37%,Expired,"$14,216",$0,"$14,216",,,1.0612,"$867,586"
21,29-Nov-22,OTC - Stock,002050 CH,Sell,Put,CNY,26.26,58%,16.67,20.8353,80.0%,30-Jan-23,0,"700,000",$14.58,$1.67,,MS,1.00%,Expired,"$20,370",$0,"$20,370",,,0.148097685,"$887,956"
22,29-Nov-22,OTC - Stock,PYPL US,Sell,Put,USD,70.56,7%,66.13,77.7993,85.0%,29-Dec-22,0,"12,800",$1.00,$0.85,,MS,0.90%,Expired,"$8,963",$0,"$8,963",,,1,"$896,919"
23,1-Dec-22,OTC - Stock,NTES US,Sell,Put,USD,76.45,40%,54.48,68.0994,80.0%,3-Jan-23,0,"29,300",$2.00,$1.60,,MS,0.72%,Expired,"$14,366",$0,"$14,366",,,1,"$911,285"
24,1-Dec-22,OTC - Stock,ONON US,Sell,Call,USD,17.07,37%,23.38,19.4839,120.0%,3-Jan-23,0,"54,400",$1.06,$1.27,,MS,0.80%,Expired,"$8,481",$0,"$8,481",,,1,"$919,765"
